Id,Sentence,True_Answer,Model_Pred,Raw_Output
u7w0lr,"A girl hula hoops indoors before the scene shifts outdoors to a cheering group on rocks; then, players swim towards the pool's center, with one in a white cap preparing to pass the ball as spectators watch.","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
kSE41E,"The man moves closer to the mirror, tilting his head up while shaving, then a towel is raised to a face as the camera zooms in on a hand reaching down to touch the water surface.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
oO5UVE,"The cookie sheet with dough moves closer to the woman as she turns slightly left, then the second hand moves away, leaving the colorful-nailed hand resting alone on the paper.","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
Qrt4Ax,"A person adjusts a bicycle as it shifts right and the camera lowers, while another individual points; then, the view focuses on hands attaching a bike accessory before revealing two similar items being held and connected to the bike.","[4, 2, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
WIiRD7,"A cyclist rides down a street, transitioning to a website link on a black screen; then, a hand adjusts the brake alignment, ensuring the wheel remains centered.","[4, 1, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
26W9oD,"The tool moves slightly upward and closer to the skin as the camera zooms in, then the hand pulls the lip further back to reveal more of the upper teeth.","[2, 4, 3, 1]","[2, 3, 1, 4]","[3, 1, 2, 4]"
FIE67H,"The woman ties her hair back into a braid while turning slightly to the right, then the braid is woven tighter as hands move downward, securing the style.","[2, 4, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
WTHZva,"The skater descends from the wall to the ground as the camera tilts down, followed by a player raising a paintball gun forward with a slight camera zoom.","[4, 3, 2, 1]","[2, 4, 1, 3]","[3, 1, 4, 2]"
xz5ZGp,"A person in a hooded coat is clearing snow from a car, replaced by another in a red cap, then moves to a nearby truck as the camera pans right, with a snowy tree branch visible in the background.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
2qEbuk,"The bottle is lowered as fingers with pink nails approach the camera, then hands part to weave strands of hair into a braid.","[2, 4, 3, 1]","[2, 4, 1, 3]","[3, 1, 4, 2]"
bmnOkL,"The skier descends a steep slope, transitioning to a flatter snowy landscape, then the view shifts from distant mountains to a skier approaching trees in the foreground.","[4, 3, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
qHYE4w,"The skater begins to glide down the road, then falls and lies on the ground, while another skater approaches and sits beside her.","[1, 4, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
GgHf6s,"The cymbal player moves to the center, joining the group as the camera zooms out, then the band transitions from scattered positions to a tightly organized formation across the field, with the camera continuing to zoom out.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
wQMMKq,"The child shows a small object close-up, then sits smiling at a table as the camera zooms out, followed by a woman sitting for a tattoo, her face shifting left while subtitles appear on screen during a camera zoom.","[2, 1, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
DibTY4,"The diver leaps off the platform as the camera shifts left, transitioning to players swimming towards the goal, followed by a dramatic zoom-in on the ""MATT VS."" title screen.","[3, 1, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
qxdBAf,"The bartender measures ingredients into a blender and adds a plate from the left, then the scene shifts to garnishing a cocktail with an orange peel, concluding with a close-up of a green logo on a white background.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
cpyXWh,"The camera zooms in on the ice fishing hole as a fish swims beneath, then shifts to a man kneeling near a fishing setup; he exits, leaving the pole in focus with text appearing at the bottom.","[3, 1, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
cf5xEW,"The underwater scene transitions to a promotional video screen with video thumbnails, then shifts to a worker applying a mixture to a wall, followed by a downward camera tilt revealing two buckets on the floor.","[1, 2, 3, 4]","[1, 2, 4, 3]","[1, 2, 4, 3]"
3M8DjI,"The hair is braided over the shoulder, then twisted to the side, rolled into a bun, and secured at the back as the camera shifts left.","[1, 4, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
CMIj0Q,"The bright light fades to reveal ""Thanks for watching!"" text, which then exits as the screen transitions to black.","[1, 3, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
mTu2ny,"The performer approaches the camera, raising one leg onto the step near the piano, then the female dancer turns away, revealing her back as the camera zooms out slightly.","[3, 2, 4, 1]","[3, 4, 1, 2]","[3, 4, 1, 2]"
G7f4Ng,"The harness is positioned on the dog's shoulders and then held up in front of a sitting dog, followed by another dog in a bath moving toward the water spray, sniffing the faucet, and playing with rubber ducks.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
VLCYMp,"In a gymnasium, a group is gathered in Canandaigua, transitioning to a black screen with a message about video visibility, then a performer runs across a stage before gracefully lowering herself towards the floor.","[1, 2, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
g7LApw,"The person stretches their styled hair downward for a length check, then shifts to braiding their hair, weaving the strands to the right as the camera slightly zooms out.","[3, 4, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
1IidFS,"The scraper glides right across the car's windshield as the camera tilts upward, then the yellow tool lowers onto the ski with the hand adjusting its position, applying slight pressure.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
9Nu9fV,"A tire is positioned onto the pink tire changer as a person raises their hand, then a T8 waxing iron is lowered onto the ski and moves steadily along its length while the camera slightly zooms in.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
Z5CEoQ,"The knife is drawn across the Samurai Pro sharpener on the cutting board, then a small object on a plate ignites, producing a flame.","[1, 2, 3, 4]","[1, 2, 4, 3]","[1, 2, 4, 3]"
fjPj1X,"The woman sets up striped pieces and holds color stickers, then sits as a tattoo artist works on her arm; she turns slightly towards the camera, describing how the sensation distracts from the pain as text appears.","[3, 4, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
Em0ZDe,"The text ""Men's High Jump"" fades as an athlete clears the bar mid-air, then transitions to another athlete standing near the mat, leaping over the pole, with the camera zooming in on the jump.","[4, 2, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
xDFSmc,"Two people measure the floor before one stirs a bucket, then a cake is frosted and lowered from above onto a freezer shelf.","[4, 1, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
SBZU2R,"The goalkeeper rises to stand ready in front of the goal, while in the next scene, a player in yellow moves forward with another following, as the camera tilts down slightly.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
EvEoFH,"The person runs along a fence and leaps over it with an upward camera tilt, then transitions to sprinting forward and leaping into the air as the camera zooms in on the track.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
AU3hmv,"The cleaning machine moves forward across the tiles, revealing a cleaner surface as the camera tilts down, then a yellow sponge is replaced by a blue cloth moving right to clean the sink more thoroughly.","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
iarnUB,"A skier in orange moves right, joined by another skier as they pause on the slope; then, the skier shifts right, crouches, and accelerates away from the camera, casting a shadow on the snow.","[4, 2, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
eFI7Dm,"The camera zooms out from the climber to reveal a vast landscape, then shifts to follow a skier moving downhill as another skier glides smoothly, with a slight camera pan left.","[1, 2, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
8vmc9D,"The group explores the rocky terrain, with one climber smiling as he secures his rope; then, another climber ascends the rock face, moving higher to reach a ledge as the camera slightly tilts up.","[1, 2, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
W7He1L,"The person trims bushes while stepping back along the fence, then a person on spring-loaded stilts bounces forward, gradually moving further away down the street.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
XWNJtt,"The stylist's hand moves from the side to the top of the mannequin's head as scissors exit, then the camera shifts from a front view of a braid to a side view of the updo with overlay text appearing.","[2, 1, 3, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
ANpGJS,"The athlete throws the discus and raises his arms in celebration as the camera zooms in, then another athlete prepares to throw, exiting the frame as the camera tilts up to reveal flags fluttering against the sky.","[3, 2, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
aP9rAk,"A skier speaks against a snowy backdrop before the scene widens to reveal skiers descending a hill, then an orange-clad skier descends the slope, turning to pause alongside another skier as the camera pans left.","[4, 3, 2, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
qGB7Q1,"The player in green moves forward and passes the ball to a teammate on the left, then the scene shifts to players on the field before transitioning to Tom McCartney’s contact information on a black screen.","[2, 4, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
EVpLCw,"The cheerleaders transition from elevated positions to a synchronized wide stance on the mat, then regroup from high stunts to the mat as the camera slightly zooms out, highlighting their coordinated performance.","[4, 3, 1, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
6rszZh,"The vinyl floor roller exits as the person kneels to apply adhesive on the kitchen floor, then the yellow bucket moves forward and rotates slightly as the person shifts from kneeling to sitting back on the tiles.","[2, 1, 3, 4]","[3, 4, 1, 2]","[3, 4, 1, 2]"
izUibZ,"The wallpaper transitions from being smoothed on the wall to laid out on the floor, as hands move up to grip the wooden holds firmly with a slight camera zoom-in.","[4, 2, 3, 1]","[3, 2, 1, 4]","[3, 2, 1, 4]"
oZiRhu,"The child swings from the structure after standing on a post, as the brush leaves the frame and a container lowers to the horse's mouth.","[2, 4, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
jjJ1tZ,"The camera tilts down and zooms in as a hand reaches for the bike's rear wheel, then shifts from a close-up of the chain to a wider view, revealing the rear wheel and surrounding area.","[1, 2, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
rBFRc5,"The gymnast lowers her arms and walks forward along the balance beam, then leaps off as another gymnast approaches from the right.","[4, 2, 1, 3]","[3, 2, 1, 4]","[3, 2, 1, 4]"
QHanoL,"The camera pans left from the steam generator to the ironing board as the operator begins ironing a shirt, then zooms in on the bike component where a tool is used to tighten and align it.","[2, 1, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
xPRZhf,"The camera zooms in on a table being painted green, then shifts from a wall being smoothed to buckets on the floor, moving downward and slightly right.","[2, 3, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
f2jeRS,"The rider on the brown horse moves away towards the far side of the arena, while the horse shifts from facing right to having its rear towards the camera as the person switches from brushing to holding a spray bottle.","[3, 4, 2, 1]","[3, 4, 1, 2]","[3, 4, 1, 2]"
Ce5VKe,"The man moves the beaded garland from the right side to the center of the tree; then, in a different setting, he steps off a chair as it shifts left, and the woman approaches to decorate higher branches.","[3, 2, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
uqTRf6,"The rider races down a slope and then pauses against a rocky backdrop, while skiers exit the lift and glide down the snowy slope.","[2, 4, 3, 1]","[2, 3, 1, 4]","[3, 1, 2, 4]"
NwCeow,"The skater leaps off the ramp into mid-air as the camera tilts upward, then the person on stilts bounces away down the street, gradually receding from view.","[3, 1, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
2zQe3l,"The de-icing product is taken from a store shelf to being held outside near snow-covered cars, then the spray container is raised by a woman and moved to release a stream onto the roof shingles.","[4, 3, 1, 2]","[3, 4, 1, 2]","[3, 4, 1, 2]"
6mUCZ2,"The diver transitions from standing to a handstand on the platform as a surfer exits the frame, and the camera shifts to reveal two individuals on a jet ski.","[2, 3, 1, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
meAw7m,"The man lowers a knife towards the table, reaching for a small object near a tomato, then the scene shifts to a close-up of a frying pan where a mixture is being stirred as it cooks.","[4, 1, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
WcPMMw,"Cucumber slices are placed on bread, transitioning to a promotional screen, followed by a view of ingredients like chocolate chips and syrup, as the camera pans to a food processor containing a smooth, textured paste.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
Cx8iMT,"The person irons flat-front pants before the screen fades to black, transitioning to a performer running across the stage as the camera pans slightly to the right.","[1, 4, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
wMDNGL,"A wrench tightens a bolt on the bike wheel, then the camera widens to show a person adjusting handlebars while seated; the view shifts to a pedal installation, followed by a wider shot of the person adjusting the bike tire.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
YcClSX,"The camera pans from the ocean to a navigation screen, then shifts to a person scraping snow from a car's windshield, moving from the side to the center as the camera tilts slightly upward.","[4, 1, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
ernmJh,"The woman removes hair rollers with upward hand movements, smiling as her styled hair is revealed with a slight camera zoom; she then rotates clockwise to face the camera, showcasing her styled curls.","[4, 3, 1, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
KNEVxq,"A woman leaves as the camera pans right to a man painting a fence, followed by a window screen being removed outdoors, transitioning to a display of the Jeld-Wen logo.","[2, 3, 1, 4]","[1, 2, 4, 3]","[1, 2, 4, 3]"
N5Salg,"A person swims underwater and then floats on the surface as the camera tilts upward, followed by a diver moving from the pool to flipping mid-air above the diving board.","[1, 4, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
fIfHIZ,"The hand mixer shifts slightly left as the left hand nears the bowl, then the mixer stays centered while the right hand moves over the top, stirring the mixture with added baking soda, cinnamon, and flour to thicken the batter.","[4, 2, 1, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
tqfeMq,"The curling stone glides across the ice as the camera zooms out to reveal a hand giving a thumbs-up, then a yellow tool is lowered and pressed onto a ski with a slight camera zoom-in.","[1, 3, 2, 4]","[3, 4, 1, 2]","[3, 4, 1, 2]"
R03j1I,"The woman brushes the horse's side and mane, while another person grooms its side, then dips their hand into a bucket near its legs.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
00Qi46,"The makeup artist's hand moves from the model's forehead to her cheek as the camera zooms out, then the camera zooms in on the model's face as the artist's hand shifts slightly left.","[2, 1, 4, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
a7gYul,"The brush is moved from the hair to be shown in front of the person as the camera zooms in, then shifts to the back of the head where the barber uses a comb and scissors to style the top.","[1, 4, 2, 3]","[1, 2, 3, 4]","[1, 2, 3, 4]"
erhyoO,"The swimmer submerges backward, transitions to floating horizontally at the pool's bottom, then treads water with arms extended sideways, shifting to holding a kickboard, and moves from a flutter kick to a scissor kick position.","[4, 3, 1, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
ae2D1I,"The clippers exit as fingers refine the fade at the back, transitioning to a comb leaving as a spray can enters from the right, applying product with a slight zoom out for a finished look.","[4, 1, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
f4bbP6,"The dancers move into a tighter embrace as the camera slightly zooms in, then transition from a close hold to standing apart, with the camera remaining static.","[1, 2, 3, 4]","[2, 3, 1, 4]","[3, 1, 2, 4]"
s1TaKr,"The turkey package moves upward while cheese appears on the counter; then, the butter container exits as a knife spreads butter on the bread, with a slight camera zoom in.","[1, 3, 2, 4]","[3, 2, 1, 4]","[3, 2, 1, 4]"
lSWEye,"A child slides down a red slide as the camera tilts left, transitioning to a bottle being raised in the dark, then cutting to a person gesturing inside a car.","[4, 1, 3, 2]","[1, 4, 3, 2]","[1, 4, 3, 2]"
gerbBA,"A mixer blends batter before a hand decorates a cookie with frosting, then a cake is frosted on a counter and placed inside a freezer.","[3, 1, 4, 2]","[1, 2, 4, 3]","[1, 2, 4, 3]"
VCDLdh,"The shaker shifts left as the finished cocktail is placed on the bar, followed by a banana moving into view on the right while the bartender reaches out.","[2, 4, 3, 1]","[3, 4, 1, 2]","[3, 4, 1, 2]"
S1JUrJ,"As the camera zooms out, more people gather around the curling stones on the ice; then, a person kneels, reeling in a line as a fish emerges from the hole, leaning forward to retrieve it.","[4, 2, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
YGB5ZA,"The marching band exits left as the camera remains stationary, then the view shifts right to reveal a pool area beyond the freshly painted fence.","[4, 1, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
CJewAZ,"The snowboarder exits right as the camera pans left, revealing skiers; then, a skier moves from center to left as the camera pans slightly left, showcasing a snowy slope bordered by trees.","[4, 1, 3, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
HKkw65,"The chef lifts a round object from the pot to the bowl, then moves back to the cutting board as the bowl exits the frame to the right.","[3, 2, 4, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
BvKXHK,"A hand moves left, replacing a tool with a blue one to insert into the wheel's center as the camera zooms in; then, hands exit as a diagram shows wheel nut orientation with an instructional label.","[1, 3, 2, 4]","[1, 2, 3, 4]","[1, 2, 3, 4]"
T5uWL6,"The truck advances, scattering leaves as it nears a person by the tree, then the scene shifts as a skateboarder descends the road, moving from background to foreground while the camera tilts downward.","[2, 1, 4, 3]","[1, 2, 4, 3]","[1, 2, 4, 3]"
0MVV7S,"The cake base stays still as the mixing bowl lowers towards it, followed by a clear container filling with yellow liquid, and a glass with a lemon slice moving in from the right.","[3, 1, 4, 2]","[1, 2, 3, 4]","[1, 2, 3, 4]"
90KoHt,"The heat gun retracts as a person uses a tool to smooth the material's edge, then a hand places a metal piece onto a wooden base and approaches with a tool for scraping.","[2, 4, 3, 1]","[1, 2, 3, 4]","[1, 2, 3, 4]"
